DATE,DEBIT,CREDIT,BALANCE
2019-02,5422616.0,6021886.0,1331483.64
2019-03,6824110.0,6321991.0,829364.64
2019-04,5370209.78,6296712.0,1755866.86
2019-05,5935334.0,4739062.0,559594.86
2019-06,4895765.0,4610699.75,274529.61
2019-07,6379826.52,7635172.0,1529875.09
2019-08,8968762.04,7725705.6899999995,286818.74
2019-09,6670255.83,9003463.05,2620025.96
2019-10,9120393.38,13777948.94,7277581.52
2019-11,8710208.38,7082776.0,5650149.14
2019-12,8359600.12,5502005.0,2792554.02
2020-01,8396695.38,7392405.66,1788264.3
